"Month, Year",Year,Year Name,Semester,Trimester,Month,Month Name,Week,Week Name,Temporal ID,Jobs,Δ Jobs
"November 2021, 
 Week 1",Y1,2021,S2,T3,M11,November,W1,Week 1,Y1S2T3M11W1,1575,63
"November 2021, 
 Week 2",Y1,2021,S2,T3,M11,November,W2,Week 2,Y1S2T3M11W2,1638,63
"November 2021, 
 Week 3",Y1,2021,S2,T3,M11,November,W3,Week 3,Y1S2T3M11W3,1701,63
"November 2021, 
 Week 4",Y1,2021,S2,T3,M11,November,W4,Week 4,Y1S2T3M11W4,1764,63
"December 2021, 
 Week 1",Y1,2021,S2,T3,M12,December,W1,Week 1,Y1S2T3M12W1,1827,63
"December 2021, 
 Week 2",Y1,2021,S2,T3,M12,December,W2,Week 2,Y1S2T3M12W2,1890,63
"December 2021, 
 Week 3",Y1,2021,S2,T3,M12,December,W3,Week 3,Y1S2T3M12W3,1953,63
"December 2021, 
 Week 4",Y1,2021,S2,T3,M12,December,W4,Week 4,Y1S2T3M12W4,2016,63
"January 2022, 
 Week 1",Y2,2022,S1,T1,M1,January,W1,Week 1,Y2S1T1M1W1,2079,63
"January 2022, 
 Week 2",Y2,2022,S1,T1,M1,January,W2,Week 2,Y2S1T1M1W2,2204,125
"January 2022, 
 Week 3",Y2,2022,S1,T1,M1,January,W3,Week 3,Y2S1T1M1W3,2329,125
"January 2022, 
 Week 4",Y2,2022,S1,T1,M1,January,W4,Week 4,Y2S1T1M1W4,2454,125
"February 2022, 
 Week 1",Y2,2022,S1,T1,M2,February,W1,Week 1,Y2S1T1M2W1,2579,125
"February 2022, 
 Week 2",Y2,2022,S1,T1,M2,February,W2,Week 2,Y2S1T1M2W2,2704,125
"February 2022, 
 Week 3",Y2,2022,S1,T1,M2,February,W3,Week 3,Y2S1T1M2W3,2829,125
"February 2022, 
 Week 4",Y2,2022,S1,T1,M2,February,W4,Week 4,Y2S1T1M2W4,2954,125
"March 2022, 
 Week 1",Y2,2022,S1,T1,M3,March,W1,Week 1,Y2S1T1M3W1,3079,125
"March 2022, 
 Week 2",Y2,2022,S1,T1,M3,March,W2,Week 2,Y2S1T1M3W2,3204,125
"March 2022, 
 Week 3",Y2,2022,S1,T1,M3,March,W3,Week 3,Y2S1T1M3W3,3329,125
"March 2022, 
 Week 4",Y2,2022,S1,T1,M3,March,W4,Week 4,Y2S1T1M3W4,3454,125
"April 2022, 
 Week 1",Y2,2022,S1,T1,M4,April,W1,Week 1,Y2S1T1M4W1,3579,125
"April 2022, 
 Week 2",Y2,2022,S1,T1,M4,April,W2,Week 2,Y2S1T1M4W2,3704,125
"April 2022, 
 Week 3",Y2,2022,S1,T1,M4,April,W3,Week 3,Y2S1T1M4W3,3829,125
"April 2022, 
 Week 4",Y2,2022,S1,T1,M4,April,W4,Week 4,Y2S1T1M4W4,3954,125
"May 2022, 
 Week 1",Y2,2022,S1,T2,M5,May,W1,Week 1,Y2S1T2M5W1,4079,125
"May 2022, 
 Week 2",Y2,2022,S1,T2,M5,May,W2,Week 2,Y2S1T2M5W2,4204,125
"May 2022, 
 Week 3",Y2,2022,S1,T2,M5,May,W3,Week 3,Y2S1T2M5W3,4329,125
"May 2022, 
 Week 4",Y2,2022,S1,T2,M5,May,W4,Week 4,Y2S1T2M5W4,4454,125
"June 2022, 
 Week 1",Y2,2022,S1,T2,M6,June,W1,Week 1,Y2S1T2M6W1,4579,125
"June 2022, 
 Week 2",Y2,2022,S1,T2,M6,June,W2,Week 2,Y2S1T2M6W2,4704,125
"June 2022, 
 Week 3",Y2,2022,S1,T2,M6,June,W3,Week 3,Y2S1T2M6W3,4829,125
"June 2022, 
 Week 4",Y2,2022,S1,T2,M6,June,W4,Week 4,Y2S1T2M6W4,4954,125
"July 2022, 
 Week 1",Y2,2022,S2,T2,M7,July,W1,Week 1,Y2S2T2M7W1,5079,125
"July 2022, 
 Week 2",Y2,2022,S2,T2,M7,July,W2,Week 2,Y2S2T2M7W2,5329,250
"July 2022, 
 Week 3",Y2,2022,S2,T2,M7,July,W3,Week 3,Y2S2T2M7W3,5579,250
"July 2022, 
 Week 4",Y2,2022,S2,T2,M7,July,W4,Week 4,Y2S2T2M7W4,5829,250
"August 2022, 
 Week 1",Y2,2022,S2,T2,M8,August,W1,Week 1,Y2S2T2M8W1,6079,250
"August 2022, 
 Week 2",Y2,2022,S2,T2,M8,August,W2,Week 2,Y2S2T2M8W2,6329,250
"August 2022, 
 Week 3",Y2,2022,S2,T2,M8,August,W3,Week 3,Y2S2T2M8W3,6579,250
"August 2022, 
 Week 4",Y2,2022,S2,T2,M8,August,W4,Week 4,Y2S2T2M8W4,6829,250
"September 2022, 
 Week 1",Y2,2022,S2,T3,M9,September,W1,Week 1,Y2S2T3M9W1,7079,250
"September 2022, 
 Week 2",Y2,2022,S2,T3,M9,September,W2,Week 2,Y2S2T3M9W2,7329,250
"September 2022, 
 Week 3",Y2,2022,S2,T3,M9,September,W3,Week 3,Y2S2T3M9W3,7579,250
"September 2022, 
 Week 4",Y2,2022,S2,T3,M9,September,W4,Week 4,Y2S2T3M9W4,7829,250
"October 2022, 
 Week 1",Y2,2022,S2,T3,M10,October,W1,Week 1,Y2S2T3M10W1,8079,250
"October 2022, 
 Week 2",Y2,2022,S2,T3,M10,October,W2,Week 2,Y2S2T3M10W2,8329,250
"October 2022, 
 Week 3",Y2,2022,S2,T3,M10,October,W3,Week 3,Y2S2T3M10W3,8579,250
"October 2022, 
 Week 4",Y2,2022,S2,T3,M10,October,W4,Week 4,Y2S2T3M10W4,8829,250
"November 2022, 
 Week 1",Y2,2022,S2,T3,M11,November,W1,Week 1,Y2S2T3M11W1,9079,250
"November 2022, 
 Week 2",Y2,2022,S2,T3,M11,November,W2,Week 2,Y2S2T3M11W2,9329,250
"November 2022, 
 Week 3",Y2,2022,S2,T3,M11,November,W3,Week 3,Y2S2T3M11W3,9579,250
"November 2022, 
 Week 4",Y2,2022,S2,T3,M11,November,W4,Week 4,Y2S2T3M11W4,9829,250
"December 2022, 
 Week 1",Y2,2022,S2,T3,M12,December,W1,Week 1,Y2S2T3M12W1,10079,250
"December 2022, 
 Week 2",Y2,2022,S2,T3,M12,December,W2,Week 2,Y2S2T3M12W2,10329,250
"December 2022, 
 Week 3",Y2,2022,S2,T3,M12,December,W3,Week 3,Y2S2T3M12W3,10579,250
"December 2022, 
 Week 4",Y2,2022,S2,T3,M12,December,W4,Week 4,Y2S2T3M12W4,10829,250
"January 2023, 
 Week 1",Y3,2023,S1,T1,M1,January,W1,Week 1,Y3S1T1M1W1,11079,250
"January 2023, 
 Week 2",Y3,2023,S1,T1,M1,January,W2,Week 2,Y3S1T1M1W2,11454,375
"January 2023, 
 Week 3",Y3,2023,S1,T1,M1,January,W3,Week 3,Y3S1T1M1W3,11704,375
"January 2023, 
 Week 4",Y3,2023,S1,T1,M1,January,W4,Week 4,Y3S1T1M1W4,13625,375
"February 2023, 
 Week 1",Y3,2023,S1,T1,M2,February,W1,Week 1,Y3S1T1M2W1,14000,375
"February 2023, 
 Week 2",Y3,2023,S1,T1,M2,February,W2,Week 2,Y3S1T1M2W2,14375,375
"February 2023, 
 Week 3",Y3,2023,S1,T1,M2,February,W3,Week 3,Y3S1T1M2W3,14750,375
"February 2023, 
 Week 4",Y3,2023,S1,T1,M2,February,W4,Week 4,Y3S1T1M2W4,15125,375
"March 2023, 
 Week 1",Y3,2023,S1,T1,M3,March,W1,Week 1,Y3S1T1M3W1,15500,375
"March 2023, 
 Week 2",Y3,2023,S1,T1,M3,March,W2,Week 2,Y3S1T1M3W2,15875,375
"March 2023, 
 Week 3",Y3,2023,S1,T1,M3,March,W3,Week 3,Y3S1T1M3W3,16250,375
"March 2023, 
 Week 4",Y3,2023,S1,T1,M3,March,W4,Week 4,Y3S1T1M3W4,16625,375
"April 2023, 
 Week 1",Y3,2023,S1,T1,M4,April,W1,Week 1,Y3S1T1M4W1,17000,375
"April 2023, 
 Week 2",Y3,2023,S1,T1,M4,April,W2,Week 2,Y3S1T1M4W2,17375,375
"April 2023, 
 Week 3",Y3,2023,S1,T1,M4,April,W3,Week 3,Y3S1T1M4W3,17750,375
"April 2023, 
 Week 4",Y3,2023,S1,T1,M4,April,W4,Week 4,Y3S1T1M4W4,18125,375
"May 2023, 
 Week 1",Y3,2023,S1,T2,M5,May,W1,Week 1,Y3S1T2M5W1,18500,375
"May 2023, 
 Week 2",Y3,2023,S1,T2,M5,May,W2,Week 2,Y3S1T2M5W2,18875,375
"May 2023, 
 Week 3",Y3,2023,S1,T2,M5,May,W3,Week 3,Y3S1T2M5W3,19250,375
"May 2023, 
 Week 4",Y3,2023,S1,T2,M5,May,W4,Week 4,Y3S1T2M5W4,19625,375
"June 2023, 
 Week 1",Y3,2023,S1,T2,M6,June,W1,Week 1,Y3S1T2M6W1,20000,375
"June 2023, 
 Week 2",Y3,2023,S1,T2,M6,June,W2,Week 2,Y3S1T2M6W2,20375,375
"June 2023, 
 Week 3",Y3,2023,S1,T2,M6,June,W3,Week 3,Y3S1T2M6W3,20750,375
"June 2023, 
 Week 4",Y3,2023,S1,T2,M6,June,W4,Week 4,Y3S1T2M6W4,21125,375
"July 2023, 
 Week 1",Y3,2023,S2,T2,M7,July,W1,Week 1,Y3S2T2M7W1,21500,375
"July 2023, 
 Week 2",Y3,2023,S2,T2,M7,July,W2,Week 2,Y3S2T2M7W2,22000,500
"July 2023, 
 Week 3",Y3,2023,S2,T2,M7,July,W3,Week 3,Y3S2T2M7W3,22500,500
"July 2023, 
 Week 4",Y3,2023,S2,T2,M7,July,W4,Week 4,Y3S2T2M7W4,23000,500
"August 2023, 
 Week 1",Y3,2023,S2,T2,M8,August,W1,Week 1,Y3S2T2M8W1,23500,500
"August 2023, 
 Week 2",Y3,2023,S2,T2,M8,August,W2,Week 2,Y3S2T2M8W2,24000,500
"August 2023, 
 Week 3",Y3,2023,S2,T2,M8,August,W3,Week 3,Y3S2T2M8W3,24500,500
"August 2023, 
 Week 4",Y3,2023,S2,T2,M8,August,W4,Week 4,Y3S2T2M8W4,25000,500
"September 2023, 
 Week 1",Y3,2023,S2,T3,M9,September,W1,Week 1,Y3S2T3M9W1,25500,500
"September 2023, 
 Week 2",Y3,2023,S2,T3,M9,September,W2,Week 2,Y3S2T3M9W2,26000,500
"September 2023, 
 Week 3",Y3,2023,S2,T3,M9,September,W3,Week 3,Y3S2T3M9W3,26500,500
"September 2023, 
 Week 4",Y3,2023,S2,T3,M9,September,W4,Week 4,Y3S2T3M9W4,27000,500
"October 2023, 
 Week 1",Y3,2023,S2,T3,M10,October,W1,Week 1,Y3S2T3M10W1,27500,500
"October 2023, 
 Week 2",Y3,2023,S2,T3,M10,October,W2,Week 2,Y3S2T3M10W2,28000,500
"October 2023, 
 Week 3",Y3,2023,S2,T3,M10,October,W3,Week 3,Y3S2T3M10W3,28500,500
"October 2023, 
 Week 4",Y3,2023,S2,T3,M10,October,W4,Week 4,Y3S2T3M10W4,29000,500
"November 2023, 
 Week 1",Y3,2023,S2,T3,M11,November,W1,Week 1,Y3S2T3M11W1,29500,500
"November 2023, 
 Week 2",Y3,2023,S2,T3,M11,November,W2,Week 2,Y3S2T3M11W2,30000,500
"November 2023, 
 Week 3",Y3,2023,S2,T3,M11,November,W3,Week 3,Y3S2T3M11W3,30500,500
"November 2023, 
 Week 4",Y3,2023,S2,T3,M11,November,W4,Week 4,Y3S2T3M11W4,31000,500
"December 2023, 
 Week 1",Y3,2023,S2,T3,M12,December,W1,Week 1,Y3S2T3M12W1,31500,500
"December 2023, 
 Week 2",Y3,2023,S2,T3,M12,December,W2,Week 2,Y3S2T3M12W2,32000,500
"December 2023, 
 Week 3",Y3,2023,S2,T3,M12,December,W3,Week 3,Y3S2T3M12W3,32500,500
"December 2023, 
 Week 4",Y3,2023,S2,T3,M12,December,W4,Week 4,Y3S2T3M12W4,33000,500
"January 2024, 
 Week 1",Y4,2024,S1,T1,M1,January,W1,Week 1,Y4S1T1M1W1,33500,500
"January 2024, 
 Week 2",Y4,2024,S1,T1,M1,January,W2,Week 2,Y4S1T1M1W2,34125,625
"January 2024, 
 Week 3",Y4,2024,S1,T1,M1,January,W3,Week 3,Y4S1T1M1W3,34750,625
"January 2024, 
 Week 4",Y4,2024,S1,T1,M1,January,W4,Week 4,Y4S1T1M1W4,35375,625
"February 2024, 
 Week 1",Y4,2024,S1,T1,M2,February,W1,Week 1,Y4S1T1M2W1,36000,625
"February 2024, 
 Week 2",Y4,2024,S1,T1,M2,February,W2,Week 2,Y4S1T1M2W2,36625,625
"February 2024, 
 Week 3",Y4,2024,S1,T1,M2,February,W3,Week 3,Y4S1T1M2W3,37250,625
"February 2024, 
 Week 4",Y4,2024,S1,T1,M2,February,W4,Week 4,Y4S1T1M2W4,37875,625
"March 2024, 
 Week 1",Y4,2024,S1,T1,M3,March,W1,Week 1,Y4S1T1M3W1,38500,625
"March 2024, 
 Week 2",Y4,2024,S1,T1,M3,March,W2,Week 2,Y4S1T1M3W2,39125,625
"March 2024, 
 Week 3",Y4,2024,S1,T1,M3,March,W3,Week 3,Y4S1T1M3W3,39750,625
"March 2024, 
 Week 4",Y4,2024,S1,T1,M3,March,W4,Week 4,Y4S1T1M3W4,40375,625
"April 2024, 
 Week 1",Y4,2024,S1,T1,M4,April,W1,Week 1,Y4S1T1M4W1,41000,625
"April 2024, 
 Week 2",Y4,2024,S1,T1,M4,April,W2,Week 2,Y4S1T1M4W2,41625,625
"April 2024, 
 Week 3",Y4,2024,S1,T1,M4,April,W3,Week 3,Y4S1T1M4W3,42250,625
"April 2024, 
 Week 4",Y4,2024,S1,T1,M4,April,W4,Week 4,Y4S1T1M4W4,42875,625
"May 2024, 
 Week 1",Y4,2024,S1,T2,M5,May,W1,Week 1,Y4S1T2M5W1,43500,625
"May 2024, 
 Week 2",Y4,2024,S1,T2,M5,May,W2,Week 2,Y4S1T2M5W2,44125,625
"May 2024, 
 Week 3",Y4,2024,S1,T2,M5,May,W3,Week 3,Y4S1T2M5W3,44750,625
"May 2024, 
 Week 4",Y4,2024,S1,T2,M5,May,W4,Week 4,Y4S1T2M5W4,45375,625
"June 2024, 
 Week 1",Y4,2024,S1,T2,M6,June,W1,Week 1,Y4S1T2M6W1,46000,625
"June 2024, 
 Week 2",Y4,2024,S1,T2,M6,June,W2,Week 2,Y4S1T2M6W2,46625,625
"June 2024, 
 Week 3",Y4,2024,S1,T2,M6,June,W3,Week 3,Y4S1T2M6W3,47250,625
"June 2024, 
 Week 4",Y4,2024,S1,T2,M6,June,W4,Week 4,Y4S1T2M6W4,47875,625
"July 2024, 
 Week 1",Y4,2024,S2,T2,M7,July,W1,Week 1,Y4S2T2M7W1,48500,625
"July 2024, 
 Week 2",Y4,2024,S2,T2,M7,July,W2,Week 2,Y4S2T2M7W2,49250,750
"July 2024, 
 Week 3",Y4,2024,S2,T2,M7,July,W3,Week 3,Y4S2T2M7W3,50000,750
"July 2024, 
 Week 4",Y4,2024,S2,T2,M7,July,W4,Week 4,Y4S2T2M7W4,50750,750
"August 2024, 
 Week 1",Y4,2024,S2,T2,M8,August,W1,Week 1,Y4S2T2M8W1,51500,750
"August 2024, 
 Week 2",Y4,2024,S2,T2,M8,August,W2,Week 2,Y4S2T2M8W2,52250,750
"August 2024, 
 Week 3",Y4,2024,S2,T2,M8,August,W3,Week 3,Y4S2T2M8W3,53000,750
"August 2024, 
 Week 4",Y4,2024,S2,T2,M8,August,W4,Week 4,Y4S2T2M8W4,53750,750
"September 2024, 
 Week 1",Y4,2024,S2,T3,M9,September,W1,Week 1,Y4S2T3M9W1,54500,750
"September 2024, 
 Week 2",Y4,2024,S2,T3,M9,September,W2,Week 2,Y4S2T3M9W2,55250,750
"September 2024, 
 Week 3",Y4,2024,S2,T3,M9,September,W3,Week 3,Y4S2T3M9W3,56000,750
"September 2024, 
 Week 4",Y4,2024,S2,T3,M9,September,W4,Week 4,Y4S2T3M9W4,56750,750
"October 2024, 
 Week 1",Y4,2024,S2,T3,M10,October,W1,Week 1,Y4S2T3M10W1,57500,750
"October 2024, 
 Week 2",Y4,2024,S2,T3,M10,October,W2,Week 2,Y4S2T3M10W2,58250,750
"October 2024, 
 Week 3",Y4,2024,S2,T3,M10,October,W3,Week 3,Y4S2T3M10W3,59000,750
"October 2024, 
 Week 4",Y4,2024,S2,T3,M10,October,W4,Week 4,Y4S2T3M10W4,59750,750
"November 2024, 
 Week 1",Y4,2024,S2,T3,M11,November,W1,Week 1,Y4S2T3M11W1,60500,750
"November 2024, 
 Week 2",Y4,2024,S2,T3,M11,November,W2,Week 2,Y4S2T3M11W2,61250,750
"November 2024, 
 Week 3",Y4,2024,S2,T3,M11,November,W3,Week 3,Y4S2T3M11W3,62000,750
"November 2024, 
 Week 4",Y4,2024,S2,T3,M11,November,W4,Week 4,Y4S2T3M11W4,62750,750
"December 2024, 
 Week 1",Y4,2024,S2,T3,M12,December,W1,Week 1,Y4S2T3M12W1,63500,750
"December 2024, 
 Week 2",Y4,2024,S2,T3,M12,December,W2,Week 2,Y4S2T3M12W2,64250,750
"December 2024, 
 Week 3",Y4,2024,S2,T3,M12,December,W3,Week 3,Y4S2T3M12W3,65000,750
"December 2024, 
 Week 4",Y4,2024,S2,T3,M12,December,W4,Week 4,Y4S2T3M12W4,65750,750
"January 2025, 
 Week 1",Y5,2025,S1,T1,M1,January,W1,Week 1,Y5S1T1M1W1,66500,1250
"January 2025, 
 Week 2",Y5,2025,S1,T1,M1,January,W2,Week 2,Y5S1T1M1W2,67375,875
"January 2025, 
 Week 3",Y5,2025,S1,T1,M1,January,W3,Week 3,Y5S1T1M1W3,68250,875
"January 2025, 
 Week 4",Y5,2025,S1,T1,M1,January,W4,Week 4,Y5S1T1M1W4,69125,875
"February 2025, 
 Week 1",Y5,2025,S1,T1,M2,February,W1,Week 1,Y5S1T1M2W1,70000,875
"February 2025, 
 Week 2",Y5,2025,S1,T1,M2,February,W2,Week 2,Y5S1T1M2W2,70875,875
"February 2025, 
 Week 3",Y5,2025,S1,T1,M2,February,W3,Week 3,Y5S1T1M2W3,71750,875
"February 2025, 
 Week 4",Y5,2025,S1,T1,M2,February,W4,Week 4,Y5S1T1M2W4,72625,875
"March 2025, 
 Week 1",Y5,2025,S1,T1,M3,March,W1,Week 1,Y5S1T1M3W1,73500,875
"March 2025, 
 Week 2",Y5,2025,S1,T1,M3,March,W2,Week 2,Y5S1T1M3W2,74375,875
"March 2025, 
 Week 3",Y5,2025,S1,T1,M3,March,W3,Week 3,Y5S1T1M3W3,75250,875
"March 2025, 
 Week 4",Y5,2025,S1,T1,M3,March,W4,Week 4,Y5S1T1M3W4,76125,875
"April 2025, 
 Week 1",Y5,2025,S1,T1,M4,April,W1,Week 1,Y5S1T1M4W1,77000,875
"April 2025, 
 Week 2",Y5,2025,S1,T1,M4,April,W2,Week 2,Y5S1T1M4W2,77875,875
"April 2025, 
 Week 3",Y5,2025,S1,T1,M4,April,W3,Week 3,Y5S1T1M4W3,78750,875
"April 2025, 
 Week 4",Y5,2025,S1,T1,M4,April,W4,Week 4,Y5S1T1M4W4,79625,875
"May 2025, 
 Week 1",Y5,2025,S1,T2,M5,May,W1,Week 1,Y5S1T2M5W1,80500,875
"May 2025, 
 Week 2",Y5,2025,S1,T2,M5,May,W2,Week 2,Y5S1T2M5W2,81375,875
"May 2025, 
 Week 3",Y5,2025,S1,T2,M5,May,W3,Week 3,Y5S1T2M5W3,82250,875
"May 2025, 
 Week 4",Y5,2025,S1,T2,M5,May,W4,Week 4,Y5S1T2M5W4,83125,875
"June 2025, 
 Week 1",Y5,2025,S1,T2,M6,June,W1,Week 1,Y5S1T2M6W1,84000,875
"June 2025, 
 Week 2",Y5,2025,S1,T2,M6,June,W2,Week 2,Y5S1T2M6W2,84875,875
"June 2025, 
 Week 3",Y5,2025,S1,T2,M6,June,W3,Week 3,Y5S1T2M6W3,85750,875
"June 2025, 
 Week 4",Y5,2025,S1,T2,M6,June,W4,Week 4,Y5S1T2M6W4,86625,875
"July 2025, 
 Week 1",Y5,2025,S2,T2,M7,July,W1,Week 1,Y5S2T2M7W1,87500,875
"July 2025, 
 Week 2",Y5,2025,S2,T2,M7,July,W2,Week 2,Y5S2T2M7W2,88500,1000
"July 2025, 
 Week 3",Y5,2025,S2,T2,M7,July,W3,Week 3,Y5S2T2M7W3,89500,1000
"July 2025, 
 Week 4",Y5,2025,S2,T2,M7,July,W4,Week 4,Y5S2T2M7W4,90500,1000
"August 2025, 
 Week 1",Y5,2025,S2,T2,M8,August,W1,Week 1,Y5S2T2M8W1,91500,1000
"August 2025, 
 Week 2",Y5,2025,S2,T2,M8,August,W2,Week 2,Y5S2T2M8W2,92500,1000
"August 2025, 
 Week 3",Y5,2025,S2,T2,M8,August,W3,Week 3,Y5S2T2M8W3,93500,1000
"August 2025, 
 Week 4",Y5,2025,S2,T2,M8,August,W4,Week 4,Y5S2T2M8W4,94500,1000
"September 2025, 
 Week 1",Y5,2025,S2,T3,M9,September,W1,Week 1,Y5S2T3M9W1,95500,1000
"September 2025, 
 Week 2",Y5,2025,S2,T3,M9,September,W2,Week 2,Y5S2T3M9W2,96500,1000
"September 2025, 
 Week 3",Y5,2025,S2,T3,M9,September,W3,Week 3,Y5S2T3M9W3,97500,1000
"September 2025, 
 Week 4",Y5,2025,S2,T3,M9,September,W4,Week 4,Y5S2T3M9W4,98500,1000
"October 2025, 
 Week 1",Y5,2025,S2,T3,M10,October,W1,Week 1,Y5S2T3M10W1,99500,1000
"October 2025, 
 Week 2",Y5,2025,S2,T3,M10,October,W2,Week 2,Y5S2T3M10W2,100500,1000
"October 2025, 
 Week 3",Y5,2025,S2,T3,M10,October,W3,Week 3,Y5S2T3M10W3,101500,1000
"October 2025, 
 Week 4",Y5,2025,S2,T3,M10,October,W4,Week 4,Y5S2T3M10W4,102500,1000
"November 2025, 
 Week 1",Y5,2025,S2,T3,M11,November,W1,Week 1,Y5S2T3M11W1,103500,1000
"November 2025, 
 Week 2",Y5,2025,S2,T3,M11,November,W2,Week 2,Y5S2T3M11W2,104500,1000
"November 2025, 
 Week 3",Y5,2025,S2,T3,M11,November,W3,Week 3,Y5S2T3M11W3,105500,1000
"November 2025, 
 Week 4",Y5,2025,S2,T3,M11,November,W4,Week 4,Y5S2T3M11W4,106500,1000
"December 2025, 
 Week 1",Y5,2025,S2,T3,M12,December,W1,Week 1,Y5S2T3M12W1,107500,1000
"December 2025, 
 Week 2",Y5,2025,S2,T3,M12,December,W2,Week 2,Y5S2T3M12W2,108500,1000
"December 2025, 
 Week 3",Y5,2025,S2,T3,M12,December,W3,Week 3,Y5S2T3M12W3,109500,1000
"December 2025, 
 Week 4",Y5,2025,S2,T3,M12,December,W4,Week 4,Y5S2T3M12W4,110500,1000
